system_type,image_file,blur_radius,run_num,final_conclusion,final_confidence,word_count,processing_time
SAS,blurred_dataset\test_image_blur_10.jpg,10,1,"The image most likely depicts a group of elephants, including a baby, near a watering hole in a savanna or park setting.",3,20,8.926248312
MAS,blurred_dataset\test_image_blur_10.jpg,10,2,"The blurry image shows elephants near a water source in a wild region. There's little visible human influence, but based on the consistent water supply, water management can be assumed. Based on these assumptions, the region is assumed to be located in Africa.",8,52,499.9211218
SAS,blurred_dataset\test_image_blur_10.jpg,10,2,"The image most likely shows a herd of elephants, including a baby elephant, near a watering hole. The scene includes vegetation, a body of water reflecting the elephants, and a distant mountain range.",3,33,8.25854516
MAS,blurred_dataset\test_image_blur_15.jpg,15,1,"The blurry image shows elephants near a water source in Africa. The reliable water supply hints at water management, and no other overt signs indicate human influence. The environment seems wild and uninfluenced.",8,44,396.7779446
SAS,blurred_dataset\test_image_blur_15.jpg,15,1,The image most likely depicts a group of elephants at a watering hole in a savanna setting.,3,15,6.713503361
MAS,blurred_dataset\test_image_blur_15.jpg,15,2,"Based on the cluster of elephants together, it can be assumed that they are managed in a preserve, with little human interference.",8,25,408.8818688
SAS,blurred_dataset\test_image_blur_15.jpg,15,2,"The image most likely shows a group of elephants, including adults and a calf, in their natural habitat, possibly near a watering hole.",3,22,7.837388515
MAS,blurred_dataset\test_image_blur_20.jpg,20,1,The elephants in the image face higher rates of dehydration and competition for resources due to the dry season,8,21,387.8027408
SAS,blurred_dataset\test_image_blur_20.jpg,20,1,"The image most likely contains a group of elephants near a water source in a savanna-like environment, though the blurry image makes exact identification difficult.",4,26,8.043936968
MAS,blurred_dataset\test_image_blur_20.jpg,20,2,The elephant's will face dehydration and will likely face competition due to the dry season.,8,17,449.7427614
SAS,blurred_dataset\test_image_blur_20.jpg,20,2,"The image likely depicts a group of elephants near a watering hole in a natural setting, although the image is blurred.",4,19,7.237731934
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,blurred_dataset\test_image_blur_0.jpg,,,,,,
,blurred_dataset\test_image_blur_0.jpg,,,,,,
,blurred_dataset\test_image_blur_0.jpg,,,,,,
,blurred_dataset\test_image_blur_0.jpg,,,,,,
,blurred_dataset\test_image_blur_0.jpg,,,,,,
,blurred_dataset\test_image_blur_0.jpg,,,,,,
,blurred_dataset\test_image_blur_2.jpg,,,,,,
,blurred_dataset\test_image_blur_2.jpg,,,,,,
,blurred_dataset\test_image_blur_2.jpg,,,,,,
,blurred_dataset\test_image_blur_2.jpg,,,,,,
,blurred_dataset\test_image_blur_2.jpg,,,,,,
,blurred_dataset\test_image_blur_2.jpg,,,,,,
,blurred_dataset\test_image_blur_5.jpg,,,,,,
,blurred_dataset\test_image_blur_5.jpg,,,,,,
,blurred_dataset\test_image_blur_5.jpg,,,,,,
,blurred_dataset\test_image_blur_5.jpg,,,,,,
